                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250604"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2433                  1.1475506210984938E+002                  2.0597718523607966E+000                  1.4999999631583217E+001                  3.4474597158749589E+001                 -8.4934324436296453E+000                  5.5954317617657114E+000                  3.7232671048754418E-001                  7.8142605653899268E-008                  4.0882260455042363E-001                  3.7714495919955726E-001                  1.0000000000000000E+000                  7.8142605653899268E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6461751270467291E+000                 -2.9167362918235579E+001                  8.4870310392721382E-001                  4.6462443543914320E+000                  2.4779933813531168E+000                  4.6432165627773907E+000                 -2.9167362918235579E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6699863812383740E+033                  1.2427456267536263E+034                  1.2922769072808617E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5789856775384969E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4877152793702937E+000                  4.2863489625048521E+000                  6.9039708337633465E-001                  4.2333647089393862E+000                  8.0968799718394395E-009                  1.6496812978122669E+001                  7.8502784224874511E-001                  7.5331032315502400E+000                  6.1817290297068039E-001                  8.4862887148247212E-001                  1.3003199152458367E+000                  6.9725738408794435E-001                  2.8225579161940351E-001                  2.6228374629133524E-004                  9.0203874186645470E-003                  3.4468833607860776E-003                  9.3805276451495376E-003                  1.0481311261792358E+001                  4.2150776888953150E+000                                        0                                        5 
                                       2                                     1239                  2.5246113664166862E+002                  2.1389530984084213E+000                  1.4999999236529991E+001                  3.4474597147311627E+001                 -8.5422974837126286E+000                  5.9089166772771389E+000                  3.9299853251632560E-001                  7.8142613047427002E-008                  9.9999999211049440E-001                  9.9999996484293752E-001                  1.0000000000000000E+000                  7.8142613047427002E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6806605096046532E+000                 -2.9284802043702705E+001                  8.0455973824452376E-001                  4.6807182732586341E+000                  2.5928382745794250E+000                  4.6770981147393069E+000                 -2.9284802043702705E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8356982649764870E+033                  1.2546678971606535E+034                  1.3813646012358308E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5667862229066103E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4863809616102586E+000                  4.2826923996878783E+000                  6.9123743748791888E-001                  4.2316839892782552E+000                  5.5513744638955718E-008                  1.6488666338440986E+001                  7.7851429100306213E-001                  7.5313172793554877E+000                  6.1812917077839657E-001                  8.4867389446140284E-001                  1.3002025380931510E+000                  6.9734729556194996E-001                  2.8217331243253807E-001                  3.1909659163356218E-004                  9.0334683507895530E-003                  3.4468833607860794E-003                  9.3805276451495410E-003                  1.0481237999866968E+001                  4.2151022798618829E+000                                        0                                        5 
                                       3                                      802                  4.1770842607985173E+002                  2.2181343444560464E+000                  1.4999998776042498E+001                  3.4474597133979152E+001                 -8.5549165044052611E+000                  6.4000132253584585E+000                  4.2441445974320580E-001                  7.8142617095691311E-008                  9.9999999211375223E-001                  9.9999996443380168E-001                  1.0000000000000000E+000                  7.8142617095691311E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7371550134175981E+000                 -2.9460383576451463E+001                  7.3645303023309272E-001                  4.7371983705598524E+000                  2.7605440986306680E+000                  4.7325474092570081E+000                 -2.9460383576451463E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1000494319566675E+033                  1.2779035595044853E+034                  1.5276603812776814E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5446106545072155E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4843366591807836E+000                  4.2770258429623036E+000                  6.9249276398408155E-001                  4.2291733229534501E+000                  6.9078299877536673E-008                  1.6476549384775790E+001                  7.6890183711620297E-001                  7.5286073903830522E+000                  6.1805871999320039E-001                  8.4874616671989400E-001                  1.3000129993488894E+000                  6.9749157227723502E-001                  2.8204367318404294E-001                  4.2712437915900007E-004                  9.0540030601715931E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  1.0481137132361422E+001                  4.2151288594394112E+000                                        0                                        5 
                                       4                                      604                  6.1600517340567137E+002                  2.2973155905036711E+000                  1.4999998247781043E+001                  3.4474597118684414E+001                 -8.5744666700905530E+000                  6.7881218444730154E+000                  4.4770652158449986E-001                  7.8142619122618668E-008                  9.9999999155500419E-001                  9.9999996136830815E-001                  1.0000000000000000E+000                  7.8142619122618668E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7237564965112995E+000                 -2.9658901041319044E+001                  6.6977976101192294E-001                  4.7237948485451176E+000                  2.8211870200792002E+000                  4.7182870080685477E+000                 -2.9658901041319044E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0860885971584856E+033                  1.2795373298066702E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4818952328006620E+000                  4.2702551641487956E+000                  6.9399027733757046E-001                  4.2261782809517348E+000                  6.9072813195934545E-008                  1.6462647394788505E+001                  7.5797453745092103E-001                  7.5254473877019583E+000                  6.1801462083891645E-001                  8.4879171120361263E-001                  1.2998948638795174E+000                  6.9758248160925329E-001                  2.8195894868655580E-001                  4.7751251237874878E-004                  9.0674283269621368E-003                  3.4468833607860798E-003                  9.3805276451495462E-003                  1.0481019526666998E+001                  4.2151571687626515E+000                                        0                                        5 
                                       5                                      577                  8.5396127019665505E+002                  2.3764968365512957E+000                  1.4999997647222596E+001                  3.4474597101296460E+001                 -8.5979415560982293E+000                  7.1182736378003133E+000                  4.7041368602773492E-001                  7.8142622343490302E-008                  9.9999999155932895E-001                  9.9999996301813354E-001                  1.0000000000000000E+000                  7.8142622343490302E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6912773619297097E+000                 -2.9874489213876039E+001                  6.0033863513457375E-001                  4.6913125850619135E+000                  2.8507322156247108E+000                  4.6849620765391311E+000                 -2.9874489213876039E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0169668546670310E+033                  1.2728241211072468E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4791983647619498E+000                  4.2628632269912643E+000                  6.9568804483623048E-001                  4.2227827285664645E+000                  6.5696377538844495E-008                  1.6447671618662032E+001                  7.4628221022333130E-001                  7.5219946701859390E+000                  6.1797682930633446E-001                  8.4883088257262995E-001                  1.2997938591928362E+000                  6.9766066745862854E-001                  2.8188470046793046E-001                  5.1276476659046870E-004                  9.0792010077281396E-003                  3.4468833607860811E-003                  9.3805276451495445E-003                  1.0480888454475171E+001                  4.2151870351171192E+000                                        0                                        5 
                                       6                                      577                  1.1395085863458353E+003                  2.4556780825989208E+000                  1.4999996968260730E+001                  3.4474597081638500E+001                 -8.6238326994600936E+000                  7.3528488810754453E+000                  4.8704851360194018E-001                  7.8142626837382337E-008                  9.9999999109627513E-001                  9.9999996215830633E-001                  1.0000000000000000E+000                  7.8142626837382337E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6358447212037097E+000                 -3.0087264699037100E+001                  5.3587807128392817E-001                  4.6358792197195742E+000                  2.8370165711584741E+000                  4.6288875917857366E+000                 -3.0087264699037100E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7995535705298072E+033                  1.2550644033495664E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4764905095327343E+000                  4.2555989726995174E+000                  6.9747162814878638E-001                  4.2192155422833899E+000                  5.8050912997283364E-008                  1.6433045822603880E+001                  7.3493659844282111E-001                  7.5185790802972887E+000                  6.1795227988297741E-001                  8.4885664224212642E-001                  1.2997287741606200E+000                  6.9771210605983469E-001                  2.8183272836139245E-001                  5.1718501766032370E-004                  9.0874648778621597E-003                  3.4468833607860785E-003                  9.3805276451495393E-003                  1.0480750025240749E+001                  4.2152184447937122E+000                                        0                                        5 
                                       7                                      575                  1.4821653657248519E+003                  2.5348593286465455E+000                  1.4999996200516787E+001                  3.4474597059410030E+001                 -8.6496429294907031E+000                  7.4713403568420373E+000                  4.9794645615767746E-001                  7.8142630816272372E-008                  9.9999999110197901E-001                  9.9999995772315453E-001                  1.0000000000000000E+000                  7.8142630816272372E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5608074002322017E+000                 -3.0275936161266195E+001                  4.8317419373212950E-001                  4.5608437191538407E+000                  2.7832254619434340E+000                  4.5534985056984372E+000                 -3.0275936161266195E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4935674754310407E+033                  1.2296203486395101E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4740422426083191E+000                  4.2492951164844426E+000                  6.9921623389007881E-001                  4.2157263085723367E+000                  4.7780459960481317E-008                  1.6420240773758390E+001                  7.2508570390389948E-001                  7.5155391729020309E+000                  6.1794272164656427E-001                  8.4886720668368387E-001                  1.2997043366866581E+000                  6.9773324990022700E-001                  2.8180607957339027E-001                  4.8706368793784610E-004                  9.0917442508217702E-003                  3.4468833607860776E-003                  9.3805276451495410E-003                  1.0480610371686339E+001                  4.2152517075143932E+000                                        0                                        5 
                                       8                                      575                  1.8933535009796715E+003                  2.6140405746941702E+000                  1.4999995326533538E+001                  3.4474597034105614E+001                 -8.6725374674609199E+000                  7.4456242057264683E+000                  4.9251685690935293E-001                  7.8142633729671734E-008                  9.9999999045439714E-001                  9.9999995776613226E-001                  1.0000000000000000E+000                  7.8142633729671734E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4729896795717528E+000                 -3.0422731309549398E+001                  4.4659438515960281E-001                  4.4730305461789452E+000                  2.7013594779545476E+000                  4.4655790663407018E+000                 -3.0422731309549398E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1317835429708249E+033                  1.1974276099064187E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4720938614990127E+000                  4.2447354180450816E+000                  7.0083314688901177E-001                  4.2124924572700566E+000                  3.7330281839376330E-008                  1.6410471079774162E+001                  7.1767440872410337E-001                  7.5131546893547734E+000                  6.1794532664259438E-001                  8.4886542526213260E-001                  1.2997128513680869E+000                  6.9772978025316401E-001                  2.8180017021843523E-001                  4.2984403088689371E-004                  9.0927647197587298E-003                  3.4468833607860789E-003                  9.3805276451495462E-003                  1.0480473674103871E+001                  4.2152876348572184E+000                                        0                                        5 
                                       9                                      575                  2.3867792632854553E+003                  2.6932218207417953E+000                  1.4999994318735244E+001                  3.4474597004926856E+001                 -8.6898482001840964E+000                  7.2426538321269858E+000                  4.8154184205205658E-001                  7.8142638492088156E-008                  9.9999999046235999E-001                  9.9999995953791243E-001                  1.0000000000000000E+000                  7.8142638492088156E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3841530377681819E+000                 -3.0518408262018887E+001                  4.2671178119133107E-001                  4.3842009359585150E+000                  2.6123097214370237E+000                  4.3767460913222553E+000                 -3.0518408262018887E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7586021187287498E+033                  1.1651939392132217E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4708040919271914E+000                  4.2425434794808883E+000                  7.0231671675055807E-001                  4.2095252883682042E+000                  2.8890477310074819E-008                  1.6404383910688033E+001                  7.1320762789247460E-001                  7.5115711250346502E+000                  6.1795310759692312E-001                  8.4885835525212905E-001                  1.2997353296096583E+000                  6.9771576401659263E-001                  2.8180350622686606E-001                  3.6318172840524017E-004                  9.0923406452554974E-003                  3.4468833607860807E-003                  9.3805276451495462E-003                  1.0480340316580524E+001                  4.2153276595079259E+000                                        0                                        5 
